taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
6MX6N	Ipomoea indivisa (Vell.) Hallier fil.	6MX6N	Ipomoea indivisa (Vell.) Hallier fil.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Solanales	43W	Convolvulaceae	8J9	Ipomoea	62WB5	Ipomoea indivisa	6MX6N	
5W6W5	Asplenium formosum Willd.	5W6W5	Asplenium formosum Willd.	7	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Aspleniaceae	6TQ	Asplenium	346X	Asplenium formosum	5W6W5	LC
5XGJM	Celtis iguanaea (Jacq.) Sarg.	5XGJM	Celtis iguanaea (Jacq.) Sarg.	5	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Rosales	3Z6	Cannabaceae	7NV	Celtis	3K3G	Celtis iguanaea	5XGJM	LC
653GQ	Adiantum deflectens Mart.	653GQ	Adiantum deflectens Mart.	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Pteridaceae	FCF	Adiantum	P9F	Adiantum deflectens	653GQ	
XKCG	Conchocarpus pentandrus (A.St.-Hil.) Kallunki & Pirani	XKCG	Conchocarpus pentandrus (A.St.-Hil.) Kallunki & Pirani	8	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Rutaceae	626WT	Conchocarpus	3SZJ	Conchocarpus pentandrus	XKCG	
9D33Q	Deguelia costata (Benth.) A.M.G.Azevedo & R.A.Camargo	9D33Q	Deguelia costata (Benth.) A.M.G.Azevedo & R.A.Camargo	5	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Deguelia	9CKJM	Deguelia costata	9D33Q	LC
7CJZC	Tournefortia paniculata Cham.	4595V	Myriopus paniculatus (Cham.) Feuillet	6	SPECIES	SYNONYM	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Boraginales	TW	Heliotropiaceae	6253L	Myriopus	5WK5	Myriopus paniculatus	4595V	
6VKWP	Piper mikanianum (Kunth) Steud.	6VKWP	Piper mikanianum (Kunth) Steud.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Piperales	623FG	Piperaceae	625NL	Piper	6QRC	Piper mikanianum	6VKWP	
66R2F	Anemia collina Raddi	66R2F	Anemia collina Raddi	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Schizaeales	42B	Anemiaceae	6233J	Anemia	VXL	Anemia collina	66R2F	
4TMW3	Ruellia brevifolia (Pohl) C.Ezcurra	4TMW3	Ruellia brevifolia (Pohl) C.Ezcurra	9	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Lamiales	3F4	Acanthaceae	62332	Ruellia	63RJB	Ruellia brevifolia	4TMW3	
3H4Q6	Gouania polygama (Jacq.) Urb.	3H4Q6	Gouania polygama (Jacq.) Urb.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Rosales	3Z6	Rhamnaceae	FN6	Gouania	4QGM	Gouania polygama	3H4Q6	
VLHGW	Urera baccifera (L.) Gaudich. ex Wedd.	VLHGW	Urera baccifera (L.) Gaudich. ex Wedd.	6	SPECIES	PROVISIONALLY_ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Rosales	3Z6	Urticaceae	HQS	Urera	855L	Urera baccifera	VLHGW	LC
87SDX	Begonia reniformis Dryand.	87SDX	Begonia reniformis Dryand.	6	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Cucurbitales	32L	Begoniaceae	7NG4T	Begonia	7NQM3	Begonia reniformis	87SDX	
572G	Justicia L.	572G	Justicia L.	4	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Lamiales	3F4	Acanthaceae	62332	Justicia	572G			
52KYQ	Stigmaphyllon tomentosum A.Juss.	52KYQ	Stigmaphyllon tomentosum A.Juss.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malpighiales	MLP	Malpighiaceae	CD9	Stigmaphyllon	7NKM	Stigmaphyllon tomentosum	52KYQ	
6B2L3	Cordia urticifolia Cham.	7FJ5S	Varronia polycephala Lam.	2	SPECIES	SYNONYM	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Boraginales	TW	Cordiaceae	7NGXW	Varronia	647JZ	Varronia polycephala	7FJ5S	
4FDM5	Petrea volubilis L.	4FDM5	Petrea volubilis L.	5	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Lamiales	3F4	Verbenaceae	TMFZP	Petrea	99FGY	Petrea volubilis	4FDM5	
LLPV	Bernardia tamanduana (Baill.) Müll.Arg.	LLPV	Bernardia tamanduana (Baill.) Müll.Arg.	10	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malpighiales	MLP	Euphorbiaceae	N7XM4	Bernardia	8VVJX	Bernardia tamanduana	LLPV	LC
56Y24	Tillandsia polystachia (L.) L.	56Y24	Tillandsia polystachia (L.) L.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Poales	627VM	Bromeliaceae	622GQ	Tillandsia	8W47T	Tillandsia polystachia	56Y24	
736WZ	Matayba guianensis Aubl.	736WZ	Matayba guianensis Aubl.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Sapindaceae	FY3	Matayba	5LYL	Matayba guianensis	736WZ	LC
4J52J	Piper oblancifolium Yunck.	4J52J	Piper oblancifolium Yunck.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Piperales	623FG	Piperaceae	625NL	Piper	6QRC	Piper oblancifolium	4J52J	
4MBFL	Prestonia coalita (Vell.) Woodson	4MBFL	Prestonia coalita (Vell.) Woodson	7	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Gentianales	39D	Apocynaceae	6L2	Prestonia	6VLF	Prestonia coalita	4MBFL	
3KC9Q	Heliotropium angiospermum Murray	3KC9Q	Heliotropium angiospermum Murray	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Boraginales	TW	Heliotropiaceae	6253L	Heliotropium	62VCK	Heliotropium angiospermum	3KC9Q	
4XKJX	Sinningia warmingii (Hiern) Chautems	4XKJX	Sinningia warmingii (Hiern) Chautems	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Lamiales	3F4	Gesneriaceae	623G4	Sinningia	644RP	Sinningia warmingii	4XKJX	
TLNK	Chamissoa altissima (Jacq.) Kunth	TLNK	Chamissoa altissima (Jacq.) Kunth	6	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Caryophyllales	VW	Amaranthaceae	68Z	Chamissoa	62LRT	Chamissoa altissima	TLNK	
4XKFY	Sinningia aggregata (Ker Gawl.) Wiehler	4XKFY	Sinningia aggregata (Ker Gawl.) Wiehler	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Lamiales	3F4	Gesneriaceae	623G4	Sinningia	644RP	Sinningia aggregata	4XKFY	
6V389	Peperomia lanceolatopeltata C.DC.	6V389	Peperomia lanceolatopeltata C.DC.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Piperales	623FG	Piperaceae	625NL	Peperomia	6KXF	Peperomia lanceolatopeltata	6V389	
6HWVG	Ficus guaranitica Chodat	6HWVG	Ficus guaranitica Chodat	6	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Rosales	3Z6	Moraceae	CXM	Ficus	4JYX	Ficus guaranitica	6HWVG	
63VHW	Urvillea Kunth	63VHW	Urvillea Kunth	1	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Sapindaceae	FY3	Urvillea	63VHW			
4HM9V	Phytolacca dioica L.	4HM9V	Phytolacca dioica L.	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Caryophyllales	VW	Phytolaccaceae	625L4	Phytolacca	63MCK	Phytolacca dioica	4HM9V	LC
63MFN	Pilea Lindl.	63MFN	Pilea Lindl.	3	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Rosales	3Z6	Urticaceae	HQS	Pilea	63MFN			
628SX	Alternanthera Forssk.	628SX	Alternanthera Forssk.	3	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Caryophyllales	VW	Amaranthaceae	68Z	Alternanthera	628SX			
64RBC	Adiantum rhizophytum Schrad.	64RBC	Adiantum rhizophytum Schrad.	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Pteridaceae	FCF	Adiantum	P9F	Adiantum rhizophytum	64RBC	
8W2BX	Philodendron Schott	8W2BX	Philodendron Schott	3	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Alismatales	62287	Araceae	6M4	Philodendron	8W2BX			
4BGYB	Oxypetalum banksii Schult.	4BGYB	Oxypetalum banksii Schult.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Gentianales	39D	Apocynaceae	6L2	Oxypetalum	6BF5	Oxypetalum banksii	4BGYB	
6DHZT	Dorstenia vitifolia Gardner	5GYKD	Dorstenia cayapia subsp. vitifolia (Gardner) C.C.Berg	2	SPECIES	SYNONYM	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Rosales	3Z6	Moraceae	CXM	Dorstenia	47WJ	Dorstenia cayapia	6DFXZ	
3HK2B	Guazuma ulmifolia Lam.	3HK2B	Guazuma ulmifolia Lam.	8	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malvales	3HP	Malvaceae	CDB	Guazuma	636H9	Guazuma ulmifolia	3HK2B	LC
S5JD	Cenchrus pedicellatus (Trin.) Morrone	S5JD	Cenchrus pedicellatus (Trin.) Morrone	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Poales	627VM	Poaceae	627FW	Cenchrus	8VW2R	Cenchrus pedicellatus	S5JD	LC
4MBJ5	Prestonia riedelii (Müll.Arg.) Markgr.	6X6SL	Rhodocalyx riedelii (Müll.Arg.) J.F.Morales, M.E.Endress & Liede	2	SPECIES	SYNONYM	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Gentianales	39D	Apocynaceae	6L2	Rhodocalyx	794C	Rhodocalyx riedelii	6X6SL	
63NFC	Polygonum L.	63NFC	Polygonum L.	1	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Caryophyllales	VW	Polygonaceae	627KD	Polygonum	63NFC			
DCKM	Anadenanthera colubrina (Vell.) Brenan	DCKM	Anadenanthera colubrina (Vell.) Brenan	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Anadenanthera	9CJRG	Anadenanthera colubrina	DCKM	LC
8W2NK	Pouteria Aubl.	8W2NK	Pouteria Aubl.	1	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Ericales	625QY	Sapotaceae	SMQQD	Pouteria	8W2NK			
RYHB	Cayaponia pilosa (Vell.) Cogn.	RYHB	Cayaponia pilosa (Vell.) Cogn.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Cucurbitales	32L	Cucurbitaceae	8SC	Cayaponia	3JTP	Cayaponia pilosa	RYHB	
4WP4F	Senegalia tenuifolia (L.) Britton & Rose	4WP4F	Senegalia tenuifolia (L.) Britton & Rose	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Senegalia	63SM7	Senegalia tenuifolia	4WP4F	LC
5CWKY	Zanthoxylum monogynum A.St.-Hil.	5CWKY	Zanthoxylum monogynum A.St.-Hil.	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Rutaceae	626WT	Zanthoxylum	6497N	Zanthoxylum monogynum	5CWKY	LC
HJVT	Asplenium balansae (Baker) Sylvestre	HJVT	Asplenium balansae (Baker) Sylvestre	5	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Aspleniaceae	6TQ	Asplenium	346X	Asplenium balansae	HJVT	
6G4GZ	Epidendrum densiflorum Hook.	6G4GZ	Epidendrum densiflorum Hook.	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Asparagales	SP	Orchidaceae	DPL	Epidendrum	8VXDM	Epidendrum densiflorum	6G4GZ	
6HVJV	Ficus calyptroceras (Miq.) Miq.	6HVJV	Ficus calyptroceras (Miq.) Miq.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Rosales	3Z6	Moraceae	CXM	Ficus	4JYX	Ficus calyptroceras	6HVJV	VU
6TVVV	Pecluma truncorum (Lindm.) M.G.Price	6TVVV	Pecluma truncorum (Lindm.) M.G.Price	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Polypodiaceae	627JZ	Pecluma	63L5D	Pecluma truncorum	6TVVV	
36CQF	Dioscorea hassleriana Chodat	36CQF	Dioscorea hassleriana Chodat	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Dioscoreales	34W	Dioscoreaceae	623Y5	Dioscorea	8VRRX	Dioscorea hassleriana	36CQF	
QPLJ	Cantinoa mutabilis (Rich.) Harley & J.F.B.Pastore	QPLJ	Cantinoa mutabilis (Rich.) Harley & J.F.B.Pastore	6	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Lamiales	3F4	Lamiaceae	PR82T	Cantinoa	8WCYC	Cantinoa mutabilis	QPLJ	
4FDG5	Petiveria alliacea L.	4FDG5	Petiveria alliacea L.	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Caryophyllales	VW	Petiveriaceae	62686	Petiveria	6M2V	Petiveria alliacea	4FDG5	
8VTMQ	Alstroemeria L.	8VTMQ	Alstroemeria L.	12	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Liliales	623DL	Alstroemeriaceae	68G	Alstroemeria	8VTMQ			
6R7MK	Mascagnia sepium (A.Juss.) Griseb.	6R7MK	Mascagnia sepium (A.Juss.) Griseb.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malpighiales	MLP	Malpighiaceae	CD9	Mascagnia	5LQF	Mascagnia sepium	6R7MK	
3C55M	Eugenia lagoensis Kiaersk.	3C55M	Eugenia lagoensis Kiaersk.	6	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Myrtales	3LY	Myrtaceae	D48	Eugenia	4FLN	Eugenia lagoensis	3C55M	EN
9CQ85	Calopogonium caeruleum (Benth.) C.Wright	9CQ85	Calopogonium caeruleum (Benth.) C.Wright	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Calopogonium	9CK95	Calopogonium caeruleum	9CQ85	
4PWQ5	Pteroglossa roseoalba (Rchb.f.) Salazar & M.W.Chase	4PWQ5	Pteroglossa roseoalba (Rchb.f.) Salazar & M.W.Chase	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Asparagales	SP	Orchidaceae	DPL	Pteroglossa	8W2VV	Pteroglossa roseoalba	4PWQ5	
D48	Myrtaceae Juss.	D48	Myrtaceae Juss.	3	FAMILY	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Myrtales	3LY	Myrtaceae	D48					
4TN35	Ruellia erythropus (Nees) Lindau	4TN35	Ruellia erythropus (Nees) Lindau	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Lamiales	3F4	Acanthaceae	62332	Ruellia	63RJB	Ruellia erythropus	4TN35	
5Y73	Nectandra Rol. ex Rottb.	5Y73	Nectandra Rol. ex Rottb.	5	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Laurales	3F8	Lauraceae	BTB	Nectandra	5Y73			
36DBC	Dioscorea subhastata Vell.	36DBC	Dioscorea subhastata Vell.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Dioscoreales	34W	Dioscoreaceae	623Y5	Dioscorea	8VRRX	Dioscorea subhastata	36DBC	
36XX8	Distimake dissectus (Jacq.) A.R.Simões & Staples	36XX8	Distimake dissectus (Jacq.) A.R.Simões & Staples	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Solanales	43W	Convolvulaceae	8J9	Distimake	4728	Distimake dissectus	36XX8	
4HTXN	Pilocarpus spicatus A.St.-Hil.	4HTXN	Pilocarpus spicatus A.St.-Hil.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Rutaceae	626WT	Pilocarpus	6QGL	Pilocarpus spicatus	4HTXN	LC
SXC7	Cereus jamacaru DC.	SXC7	Cereus jamacaru DC.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Caryophyllales	VW	Cactaceae	7HS	Cereus	3L46	Cereus jamacaru	SXC7	LC
4LVYJ	Porcelia macrocarpa (Warm.) R.E.Fr.	4LVYJ	Porcelia macrocarpa (Warm.) R.E.Fr.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Magnoliales	3HL	Annonaceae	C66JZ	Porcelia	C82P7	Porcelia macrocarpa	4LVYJ	LC
6N9JW	Iseia luxurians (Moric.) O'Donell	67427	Aniseia luxurians (Moric.) Athiê-Souza & Buril	3	SPECIES	SYNONYM	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Solanales	43W	Convolvulaceae	8J9	Aniseia	WBZ	Aniseia luxurians	67427	
69HW4	Centrolobium tomentosum Guill. ex Benth.	69HW4	Centrolobium tomentosum Guill. ex Benth.	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Centrolobium	9CKBF	Centrolobium tomentosum	69HW4	LC
6M9J	Pfaffia Mart.	6M9J	Pfaffia Mart.	13	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Caryophyllales	VW	Amaranthaceae	68Z	Pfaffia	6M9J			
3XYDQ	Maranta lindmanii L.Andersson	3XYDQ	Maranta lindmanii L.Andersson	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Zingiberales	4C2	Marantaceae	624K3	Maranta	8VZ5V	Maranta lindmanii	3XYDQ	
5VJDX	Anthurium minarum Sakur. & Mayo	5VJDX	Anthurium minarum Sakur. & Mayo	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Alismatales	62287	Araceae	6M4	Anthurium	8VTYD	Anthurium minarum	5VJDX	
CDB	Malvaceae Juss.	CDB	Malvaceae Juss.	2	FAMILY	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malvales	3HP	Malvaceae	CDB					
6X2Z9	Randia armata (Sw.) DC.	6X2Z9	Randia armata (Sw.) DC.	5	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Gentianales	39D	Rubiaceae	SGJN5	Randia	8W2ZL	Randia armata	6X2Z9	LC
64WXG	Aegiphila integrifolia (Jacq.) B.D.Jacks.	64WXG	Aegiphila integrifolia (Jacq.) B.D.Jacks.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Lamiales	3F4	Lamiaceae	PR82T	Aegiphila	8VTC4	Aegiphila integrifolia	64WXG	LC
855L	Urera Gaudich.	855L	Urera Gaudich.	4	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Rosales	3Z6	Urticaceae	HQS	Urera	855L			
HK97	Asplenium dimidiatum Sw.	HK97	Asplenium dimidiatum Sw.	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Aspleniaceae	6TQ	Asplenium	346X	Asplenium dimidiatum	HK97	
3WDFW	Luehea divaricata Mart.	3WDFW	Luehea divaricata Mart.	5	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malvales	3HP	Malvaceae	CDB	Luehea	5H7H	Luehea divaricata	3WDFW	DD
4J353	Piper amalago L.	4J353	Piper amalago L.	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Piperales	623FG	Piperaceae	625NL	Piper	6QRC	Piper amalago	4J353	LC
43LGW	Mirabilis jalapa L.	43LGW	Mirabilis jalapa L.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Caryophyllales	VW	Nyctaginaceae	DG4	Mirabilis	5TK9	Mirabilis jalapa	43LGW	
6545L	Adiantopsis regularis (Mett.) T.Moore	6545L	Adiantopsis regularis (Mett.) T.Moore	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Pteridaceae	FCF	Adiantopsis	627W6	Adiantopsis regularis	6545L	
6D95K	Dioscorea leptostachya Gardner	36CWQ	Dioscorea martiana Griseb.	1	SPECIES	SYNONYM	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Dioscoreales	34W	Dioscoreaceae	623Y5	Dioscorea	8VRRX	Dioscorea martiana	36CWQ	
5C2FV	Wissadula macrantha R.E.Fr.	5S52W	Wissadula grandifolia var. macrantha (R.E.Fr.) Shinners	2	SPECIES	SYNONYM	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malvales	3HP	Malvaceae	CDB	Wissadula	884G	Wissadula grandifolia	9YPR6	
36CKL	Dioscorea demourae Uline ex R.Knuth	36CKL	Dioscorea demourae Uline ex R.Knuth	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Dioscoreales	34W	Dioscoreaceae	623Y5	Dioscorea	8VRRX	Dioscorea demourae	36CKL	
XFJ4	Commelina erecta L.	XFJ4	Commelina erecta L.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Commelinales	ZC	Commelinaceae	8GR	Commelina	8VWFQ	Commelina erecta	XFJ4	LC
ZNLQ	Crotalaria incana L.	ZNLQ	Crotalaria incana L.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Crotalaria	9CKG4	Crotalaria incana	ZNLQ	
9D2Q7	Dahlstedtia muehlbergiana (Hassl.) M.J.Silva & A.M.G.Azevedo	9D2Q7	Dahlstedtia muehlbergiana (Hassl.) M.J.Silva & A.M.G.Azevedo	8	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Dahlstedtia	9CKHN	Dahlstedtia muehlbergiana	9D2Q7	
8SC	Cucurbitaceae Juss.	8SC	Cucurbitaceae Juss.	4	FAMILY	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Cucurbitales	32L	Cucurbitaceae	8SC					
